Date,Value
2010-12-31,20.5647972652
2008-12-31,24.442246062
2006-12-31,26.221816478
2002-12-31,32.8112296263
2000-12-31,35.8599116008
1999-12-31,35.4086579678
1998-12-31,32.5892177742
1996-12-31,32.9855109168
1994-12-31,34.966006481
1992-12-31,37.8890437571
1990-12-31,40.852728172
1988-12-31,41.6132404992
1981-12-31,36.9306427652
